Location,Island,Hala_scale,Transect,Elevation,Small_sapling,Larger_sapling,Pre-reproductive,Reproductive,Invasive_understory,Canopy_coverage,Small_sapling_ratio,Larger_sapling_ratio,Pre-reproductive_ratio
Pilani Trail,Maui,Y,1,80,1,2,1,20,6.7,41,0.1,0.2,0.1
Pilani Trail,Maui,Y,2,120,1,8,1,9,8.3,35.99,0.222222222,1.777777778,0.222222222
Pilani Trail,Maui,Y,3,120,1,1,1,10,5,39.88,0.2,0.2,0.2
Pilani Trail,Maui,Y,4,110,19,0,1,7,10,24.71,5.428571429,0,0.285714286
Pilani Trail,Maui,Y,5,100,3,0,3,5,0,32.9,1.2,0,1.2
Waianapapa South,Maui,Y,1,60,13,0,4,5,0,77.16,5.2,0,1.6
Waianapapa South,Maui,Y,2,80,205,0,2,13,8.3,60.46,31.53846154,0,0.307692308
Waianapapa South,Maui,Y,3,70,240,7,0,5,3.3,78.33,96,2.8,0
Waianapapa South,Maui,Y,4,60,310,3,22,14,1.6,79.69,44.28571429,0.428571429,3.142857143
Waianapapa South,Maui,Y,5,60,396,3,13,19,0,84.02,41.68421053,0.315789474,1.368421053
Waianapapa South,Maui,Y,6,70,99,9,0,7,0,91.51,28.28571429,2.571428571,0
Waianapapa South,Maui,Y,7,70,250,49,4,2,8.3,89.53,250,49,4
NTBG Coastal,Maui,Y,1,60,0,3,0,8,10,85.19,0,0.75,0
NTBG Coastal,Maui,Y,2,60,1,5,0,4,3.3,33.19,0.5,2.5,0
NTBG Coastal,Maui,Y,3,60,9,0,0,7,16.6,30.13,2.571428571,0,0
NTBG Coastal,Maui,Y,4,60,8,15,3,12,0,74.99,1.333333333,2.5,0.5
NTBG Coastal,Maui,Y,5,60,30,2,3,8,0,86.19,7.5,0.5,0.75
NTBG Coastal 2,Maui,Y,1,80,39,0,2,16,22,86.55,4.875,0,0.25
NTBG Coastal 2,Maui,Y,2,80,162,1,1,7,5,70.56,46.28571429,0.285714286,0.285714286
Na Aina Kai,Kauai,N,1,100,66,1,2,9,5,98.55,14.66666667,0.222222222,0.444444444
Na Aina Kai,Kauai,N,2,80,28,9,0,4,5,91.06,14,4.5,0
Na Aina Kai,Kauai,N,3,60,2,11,16,4,18.3,96.03,1,5.5,8
Na Aina Kai,Kauai,N,4,40,35,3,22,4,15,99.46,17.5,1.5,11
Hideaways,Kauai,N,1,80,221,1,0,7,1.67,96.12,63.14285714,0.285714286,0
Hideaways,Kauai,N,2,80,0,4,24,1,23.3,99.91,0,8,48
Hideaways,Kauai,N,3,130,32,6,25,4,58.33,90.61,16,3,12.5
Queens Bath,Kauai,N,1,70,11,0,1,3,20,88.44,7.333333333,0,0.666666667
Queens Bath,Kauai,N,2,80,98,9,0,5,43.3,93.5,39.2,3.6,0
Queens Bath,Kauai,N,3,90,103,0,0,9,8.3,90.61,22.88888889,0,0
Hanakapiai Forest,Kauai,N,1,200,105,0,3,23,0,99.91,9.130434783,0,0.260869565
Hanakapiai Forest,Kauai,N,2,220,15,1,0,23,0,99.82,1.304347826,0.086956522,0
Kalalau Mile 5,Kauai,N,1,350,28,4,0,12,3.333,99.55,4.666666667,0.666666667,0
Kalalau Mile 5,Kauai,N,2,370,74,0,0,15,63.33,99.55,9.866666667,0,0
Kalalau Mile 5,Kauai,N,3,390,21,0,3,13,50,98.65,3.230769231,0,0.461538462
Kalalau Mile 5.5,Kauai,N,1,320,32,0,1,10,10,98.92,6.4,0,0.2
Kalalau Mile 5.5,Kauai,N,2,370,19,1,1,7,8.33,98.1,5.428571429,0.285714286,0.285714286
